Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	70091	30894
OT	2	1	16455	9710
OT	1	2	19933	7408
OT	2	2	8191	3900
OT	1	3	2933	1561
OT	2	3	4989	2468
OT	1	4	6418	4537
OT	2	4	6447	3646
OT	1	5	12979	4142
OT	2	5	6173	2858
OT	1	6	7089	2794
OT	2	6	6504	3059
OT	1	7	9680	3705
OT	2	7	6040	3097
OT	1	8	7985	3212
OT	2	8	5928	3073
OT	1	9	6371	2997
OT	2	9	5358	2672
OT	1	10	6349	3189
OT	2	10	5514	3026
OT	1	11	9944	3800
OT	2	11	5678	2892
OT	1	12	4674	3023
OT	2	12	8025	3424
OT	1	13	8328	3812
OT	2	13	6962	3482
OT	1	14	8697	3898
OT	2	14	7431	3420
OT	1	15	5401	2817
OT	2	15	6831	3566
OT	1	16	6192	2731
OT	2	16	6871	3168
OT	1	17	7708	2964
OT	2	17	7177	3305
OT	1	18	12644	4552
OT	2	18	6423	2905
OT	1	19	4822	2896
OT	2	19	5957	2975
OT	1	20	4962	2804
OT	2	20	7952	3127
OT	1	21	4916	2889
OT	2	21	5293	2831
OT	1	22	5115	3005
OT	2	22	7317	3097
OT	1	23	4577	2648
OT	2	23	5805	2901
OT	1	24	5157	2825
OT	2	24	7166	3290
OT	1	25	6439	3135
OT	2	25	6074	3163
OT	1	26	10368	3423
OT	2	26	6372	3066
OT	1	27	5528	3006
OT	2	27	7329	3220
OT	1	28	5668	2734
OT	2	28	5372	2781
OT	1	29	5168	2836
OT	2	29	4994	2697
OT	1	30	5576	2809
OT	2	30	5376	2888
OT	1	31	6987	3266
OT	2	31	6103	2948
OT	1	32	8124	3448
OT	2	32	6418	3109
OT	1	33	7884	3185
OT	2	33	5815	2939
OT	1	34	7433	3365
OT	2	34	6193	2970
OT	1	35	5495	2581
OT	2	35	5566	2777
OT	1	36	8727	3099
OT	2	36	6302	3191
OT	1	37	6446	2888
OT	2	37	6758	3115
OT	1	38	8310	3156
OT	2	38	5482	2793
OT	1	39	5013	2790
OT	2	39	7690	3453
OT	1	40	6093	3062
OT	2	40	5867	2767
OT	1	41	6192	2858
OT	2	41	7893	3098
OT	1	42	5239	3086
OT	2	42	5741	2929
OT	1	43	5356	2737
OT	2	43	6860	3294
OT	1	44	5510	2746
OT	2	44	8694	3596
OT	1	45	6426	3089
OT	2	45	7005	3203
OT	1	46	6526	3129
OT	2	46	7057	2883
OT	1	47	5139	2641
OT	2	47	5933	3162
OT	1	48	5102	2683
OT	2	48	5413	2732
OT	1	49	5378	3031
OT	2	49	5171	2961
OT	1	50	7435	3216
OT	2	50	5588	2782
OT	1	51	6129	2912
OT	2	51	8498	3381
OT	1	52	7216	2999
OT	2	52	6547	2835
OT	1	53	6186	2862
OT	2	53	5051	2808
OT	1	54	5806	2555
OT	2	54	4551	2571
OT	1	55	7363	3083
OT	2	55	4804	2607
OT	1	56	5026	2614
OT	2	56	4659	2518
OT	1	57	6915	2702
OT	2	57	4463	2588
OT	1	58	6170	2662
OT	2	58	4471	2409
OT	1	59	6358	2488
OT	2	59	8937	3687
OT	1	60	6090	2682
OT	2	60	6588	2583
OT	1	61	6376	2856
OT	2	61	5463	2513
OT	1	62	6987	3022
OT	2	62	4660	2555
OT	1	63	8309	3268
OT	2	63	4714	2337
OT	1	64	5489	2756
OT	2	64	7222	3463
OT	1	65	7360	2889
OT	2	65	4441	2368
OT	1	66	4767	2256
